indonesia,sambas
"kurus","kurus"
"melihat","meliat"
"menggeleng","ngelek"
"adzan","ngabbang"
"menjumpai","jumpe"
"basah sekali (lantai)","laccah"
"datuk","dato'"
"emping padi yang masih muda","sance"
"duduk","duddok"
"tampan","ganteng"
"perkenalan","perkenalan"
"bengkak","kambang"
"terbalik","belungking"
"terbalik","tebalik"
"maka","mangke"
"terjatuh","belabik"
"terjatuh","tebuang"
"terjatuh","telantang"
"hama","ammak"
"mesjid","masjid"
"gaet","kaik"
"anak muda","biak muda"
"tumbuk","tumbok"
"gila","babang"
"gila","lingau"
"gila","nyanyang"
"anak","biak"
"urang","biak"
"kembali","mbalik"
"kembali","mballik"
"kembali","mallik"
"kembali","malik"
"belajar","nuntut ilmul"
"belajar","belajar"
"hangus","rattong"
"hangus","angus"
"pecah","tababbas"
"di","di"
"jomblo","jomblo"
"handsome","kacak"
"dubur","jubbor"
"ancam","ancam"
"cuti","cuti"
"ingin lagi","nganynyat"
"dua","duak"
"bergetar","begajjik"
"bergetar","begantar"
"hampir","amper"
"libur","libur"
"masih kenyang","sabbol"
"kata","nye"
"kata","jinye"
"katanya","jinye"
"kata nya","jinye"
"oleh karena","lantaran"
"oleh karena","mangke"
"spatula","penculik"
"kaca","kace"
"besertaan","seratte"
"main ditempat tidur","berundan"
"setengah","sitangah"
"berkelahi","begasak"
"berkelahi","bekelai"
"tidak dapat berbuat apa-apa","nda tigalle-galle"
"jauh","jaoh"
"potong habis","babat"
"ngerti","ngerati"
"drum","leger"
"meninju","ninju"
"meninju","barri"
"bangun","bangun"
"tak berdaya","tilempe"
"mandi disungai","mandek disungai"
"mandi disungai","bekappak"
"berladang","kumme"
"mekar","mangkar"
"semau hati","Asal-asalan"
"jemuran","ansaian"
"tembem","kemol"
"cakar","cabau"
"pergi","paggi"
"kesini","kesitok"
"berkicau","ngeracau"
"pantau","tirrau"
"berliku","kelok"
"berliku","bekelok"
"perkara","pekare"
"marah","manas"
"minum","minnum"
"pacar","cinte"
"berkedip sebelah mata","ngijjat"
"sendok","suddo'k"
"cambang","jambang"
"kemana","kemane"
"perlahan-lahan","alon"
"mencakar","nyakar"
"dorong","angsor"
"menangguk","nanggok"
"parang untuk memotong kayu","parang majok"
"beduk","baddok"
"nasib","nasseb"
"buang air besar","tiberak"
"cair","caer"
"menututupi badan dengan kain","bekumbo'"
"sakit koreng dikaki","rabbo'"
"tidak ada","dak ade"
"tidak ada","sian"
"bau busuk tumbuhan","bangar"
"mendukung","dukkong"
"pelit","retok"
"pelit","palek"
"pelit","tuko'an garam"
"serangga","bangas"
"pada","antul"
"pada","antol"
"pada","ntol"
"melihat","nammu"
"begitu","geyye"
"ayunan anak-anak","kuyyut"
"berbicara","ngomong"
"puasa","puase"
"memasuki","masok"
"tenggorokan","kerongkongan"
"tepat","tapat"
"jenis","jannis"
"teriak-teriak tak karuan","keraok-kepadau"
"ribut","ingngar"
"tidak ikhlas","ribbe"
"tidak ikhlas","daan ikhlas"
"iklan tv","tajak"
"kura-kura","kurra'"
"tidak beres","daan ganah"
"sebenarnya","sebanarnye"
"menyingkirkan","nyingkerkan"
"memuaskan","bele"
"nyamar","nyamar"
"ya","ao'"
"tebak","nujjum"
"jeput","japput"
"keluarga","family"
"mahir","lihai"
"emak","umak"
"tidak","indak"
"buntu","buntu"
"terompah","sandal"
"halus","alus"
"terkentut","tikantut"
"caping","tanggoy"
"tidak","indak"
"lembu","lambu"
"kehendak","kemaok'an"
"raut muka berubah karena panik akibat terkejut akan sesuatu","keseng"
"raut muka berubah karena panik akibat terkejut akan sesuatu","kasang"
"rapat / musyawarah","bemeteng"
"mataku perih","mateku padeh"
"hantu","antu"
"keadaan tidak stabil","layau"
"berdetak kencang","bedagub"
"ngemong bayi","nunggah"
"licin","liccing"
"dunia","dunie"
"diam di tempat, tidak kemana-mana","nogo'"
"tidak kemana-mana","nogo'"
"diam di tempat","nogo'"
"membersihkan gigi dari sisa makanan","ningngak"
"orang yang gemuk dan besar","tebam"
"layang","waw"
"layang","uwaw"
"daya tampung","muat"
"lonte","moler"
"terlena","khayyal"
"nasib bagus","heng"
"intip","nilik"
"bagaimana","gemane"
"bahenol","montok"
"lumpuh","lumpoh"
"kunci","kunci"
"sange","sangek"
"botak","botak"
"kontribusi","ikut nyumbang"
"mirip","se'nyalah"
"tidak bisa berdiam diri","ngelatap"
"kagum","heran"
"belum","ballom"
"bau keringat yang kering karena berjemur","bau ari"
"hancur","ancor"
"hancur","laccor"
"kunang kunang","impapat"
"pedas","paddas"
"jangan","usah"
"seperti","bagai nak"
"pukulan menggunakan kayu kecil atau rotan","rimpat"
"bibi","ma' tua'"
"bibi","mak tuak"
"tante","ma' tua'"
"tante","mak tuak"
"tetak","tibak"
"selembar","selambar"
"adalah","adalah"
"orang yang kuat makan","bogoh"
"rakus","bogoh"
"koreng besar","baggeng"
"kapal","motodr aek"
"terputus","pagat"
"tahu sama tahu","tau same tau"
"tidak kemana-mana","nogo'k"
"tidak kemana-mana","daan kemane-mane"
"lap lantai","incalap"
"lusuh","lumus"
"heran","hesap"
"tak dapat mengerti","hesap"
"tak dapat mengerti","daan bise ngeratti"
"suka mengganggu","jajjal"
"suka mengganggu","suke ngacau"
"keduanya","kedua'ang"
"keduanya","kedua'nye"
"perigi","ge'"
"macam-macam","macam-macam"
"macam-macam","banyak-ragam"
"melepet","ngelepet"
"menekan","miccik"
"menanam ladi","nanam padi"
"delima","delimme"
"cara","care"
"kura kura","kura'"
"cicak","caccak"
"keruk","karrok"
"mengeruk","ngarrok"
"penuh sesak","sassak"
"keren","mantap"
"keren","sega'k"
"sedangkan anak kecil aja tau pacaran","sadangkan biak kacik ajak dah tau becinte"
"montok","jambal"
"sikut","siggong"
"pakaian pengantin","jamang"
"ngesot","ngensot"
"yuk","dah"
"bulan","bullan"
"mana","mane"
"musim penyakit","awar"
"menyaingi","nengkes"
"ingin lagi","nganyan"
"ingin lagi","maok agek"
"alot","liut"
"buruk","burrok"
"kesadaran","kesadaran"
"jendela","penyawan"
"orang kampung","anak sungai"
"orang kampung","biak sungai"
"orang kampung","biak kampong"
"orang kampung","urang kampong"
"mengurut","ngurut"
"yaampun","yak-bayak"
"bicara","ngomong"
"dot","pantel"
"berasal dari tempat yang sama","kalle' sekurongan"
"handphone","hp"
"beruntung","beruntong"
"tak bisa diam","ngeracau"
"tak bisa diam","daan bise diam"
"tidur berdengkur","besangor"
"ngorok","nyangor"
"tiada","sian"
"pening","panning"
"kita","kamek"
"matang","masak"
"pantesan","pantasan"
"nanti","ka'ang"
"nanti","kalak"
"cemberut","tebajju'"
"tempel","lakatkan"
"zaman dulu","gek dolo'"
"tidak mungkin","ingkoset"
"asal usul","asal usol"
"hasil","hasel"
"bersih","barseh"
"berbaring","beguringan"
"tarik","jujjut"
"pisau","lading"
"pisau","pisok"
"syukur","sukor"
"sah","sah"
"sah","aci"
"jatuh dari ketinggian","tebuang"
"mempan","mampan"
"bentak","bantak"
"selingkuh","selingkuh"
"selingkuh","bekandak"
"mengada-ngada","ngade-ngade"
"pecah (kecelakaan)","tebabbas"
"pecah","tebabbas"
"malas mau keluar hujan terus","malas nak keluar ujan tolen"
"pukul","pangkong"
"libur","parrai"
"disebut","kanak sabut"
"kotor sekali","bakkok"
"sangat kotor","bakkok"
"kotor akibat lumpur","bakkok"
"menanyakan","nanyakkan"
"bercakap-cakap","ngomong"
"mahir","lihai"
"mahir","maher"
"terjatuh","tejerungus"
"beras lembut","banjar"
"sini","sitok"
"lalai","leler"
"buang","buang"
"buang","layyah"
"duet","duet"
"onani","meloco'"
"onani","melocok"
"dermaga","steher"
"dermaga","pelabohan"
"menahan malu","keseng"
"salting","keseng"
"salah tingkah","keseng"
"salah tingkah karena menahan malu","keseng"
"salting","kasang"
"salah tingkah","kasang"
"salah tingkah karena menahan malu","kasang"
"garuk","garok"
"garuk","kissai"
"pojok","pittok"
"kemana-mana hilang arah","pitau"
"kemana-mana","pitau"
"hilang arah","pitau"
"menyigung","nyiggong"
"suara","suare"
"dapur","pelantaran"
"darah","darah"
"gorden","tirai"
"kamu","kau"
"pindah","kaleh"
"pindah","pindah"
"jendela kecil","penjawan"
"sedia","sedie"
"luka bakar","batto'"
"luka bakar","battok"
"madu","madok"
"memisahkan","misahkan"
"selamatan anak","gunting rambut"
"marah dengan kata-kata","ngerebeh"
"ditawarkan","kanak tampahek"
"tambur","gredek"
"semari","kemarin"
"pusing","ngallu"
"pusing","panning"
"tendang","tandang"
"parfum","parfum"
"parfum","minyak wangi"
"parfum","minyak bau"
"cangkul","cangkol"
"cuaca","cuace"
"cuaca","hawe"
"menelan","nallan"
"menelan","nyompol"
"terbentuk relung bulat","tebelassong"
"bocor","bobos"
"peluit","lipri"
"goresan","calar"
"tumbuhan ditepi parit","bundong"
"dupa","kemanyan"
"mukena","undong undong"
"lemah","lammah"
"lesu","lassu"
"lemah","lunglai"
"tumpukan","tumpokan"
"berlipat ganda","belipat gande"
"menjadi kebiasaan","ngannyat"
"kebiasaan","kannyat"
"tepat waktu","simakai"
"manyun","muncong"
"ayo","dah"
"kalo","mun"
"jika","mun"
"nyesek","pillok"
"pertemuan","pertamuan"
"tembok","dinding"
"kerja","kerajje"
"lain","laing"
"nyontek","nirru"
"semoga","semoge"
"semoga","mudah-mudahhan"
"cantik sekali","cantek inyan"
"selai","sallai"
"laksamana","laksmane"
"tamak","kamo'"
"tidak masuk","daan masok"
"bermain atau berenang di parit atau sungai","ngaboh"
"elastis","liut"
"bergantian","sengantek"
"oval","bonjong"
"mencium","nyium"
"benar","nyan"
"ketularan","kanak jangkitek"
"ujar","jinye"
"rajin","rajing"
"pegang erat-erat","cakkal"
"berjalan sambil begaya","ngegah"
"jahe","layyak"
"lalat","lalat"
"tersedak","kesadakkan"
"mari","dah"
"celana panjang","selawar"
"meraba-raba didalam gelap","betatap"
"menukik","nyirrok"
"cerita rakyat","gargasi"
"terkenang","tikannang"
"baung","baong"
"akan","nak"
"kiri","kerek"
"minta ikut","nunda'"
"kafir","kaper"
"terik","tarrik"
"panas terik","bedangkang"
"balon","balon"
"balon","kelambong"
"nanti","kalla'"
"telungkup","tingkap"
"sendal","selepar"
"sendal","sandal"
"peluk","dakok"
"bujur","bujjor"
"apalagi","ape age'"
"ayo","dah"
"kulit","kulik"
"rasanya","rasenye"
"ngintip","nillik"
"agar","garre"
"agar","supaye"
"mencoret","corek"
"mencoret","nyorek"
"kuat","kabbal"
"ke sini","ke sitok"
"patuh","manoh"
"barang","barang"
"dapur","siok"
"vagina","pepek"
"vagina","tundun"
"gendut","gammok lempong"
"melamun","melamun"
"ya","ye"
"ya","aok"
"ya","i"
"nanti ya","kalak i"
"maksudnya","maksudnye"
"aku","aku"
"pusing","ngallu"
"nenek","uwan"
"nenek","ne' wan"
"nenek","nek uwan"
"emosian","rangasan"
"kelilipan","kalimpanan"
"kurang berhati-hati","lappe"
"masih","maseh"
"entah lah ya","intah be i"
"entah lah ya","intah lah i"
"nakal","bale"
"nakal","soso"
"aqiqah","kekah"
"pinggir","tappi"
"inilah","itto'dih"
"inilah","itto'lah"
"inilah","ittok dih"
"inilah","ittok lah"
"tembem","kammol"
"tengah malam","tangah malam"
"peras","parras"
"gelas","gallas"
"gelas","cawan"
"gelas","cangker"
"cangkir","gallas"
"cangkir","cawan"
"cangkir","cangker"
"pukul","baddap"
"bekerja","keraje"
"mencegat","caggat"
"berdiri lurus","caggat"
"tegak lurus","caggat"
"mata pisau yang rusak","labang"
"nongol","nyongol"
"pendek","pandak"
"pendek","pendek"
"hitung","ittong"
"sisa","sisa"
"sisa","keradak",
"ampas","keradak",
"menyatakan","menyatekan"
"sedia","sedie"
"terluka","teluka'"
"kurang waras","babbang"
"kurang waras","nyanyok"
"kurang waras","nyannyang"
"acara sedekah","ngeluarkan"
"syukuran","ngeluarkan"
"tetap","tatap"
"ketularan","nyangkit"
"lambai","lambai"
"astaga","bayak"
"astaga","yak bayak"
"lamban","ulut"
"tempat pencucian perlatan dapur","inciringan"
"kumbang","ampal"
"jahit","jaik"
"belok kanan","melok kanan"
"helo","helo"
"tidak pernah","daan suah"
"menjodohkan","madankan"
"kalung","kungkong"
"banyak tanya","alek"
"bajingan","keparat"
"tamak","kamo'"
"ladang","umme"
"sawah","umme"
"toko","tokoh"
"bahasa sambas","bahase sambas"
"kera","karra'"
"kera","barrok"
"terjerumus","tijerumus"
"menggoda","ngode"
"menggoda","nyakat"
"dipukul","belabbau"
"dipukul","kanak pukol"
"ada apa","ade ape"
"suku","suku"
"suku","kaum"
"suku","urang"
"hanya","cumme"
"hanya","hanye"
"yang","nang"
"mengomel","ngerepe'"
"mengomel","ngerepek"
"asyik","suke"
"coli","melocok"
"suka sekali","suke lalu"
"sangat menyenangkan","suke lalu"
"bertebaran","belampar"
"membicarakan orang lain","beragi"
"berubah pikiran","berubah pikeran"
"seperti","maccam"
"seperti","bagai"
"seperti","bagai nak"
"seperti","maccam nak"
"berhubungan seksual","nganjek"
"dapat melihat dengan jelas","awas"
"jam","jam"
"jam","ajjam"
"kegatalan","miang"
"berkelahi","bekelai"
"berkelahi","becabau"
"mengisi","ngissek"
"bercanda","pongah"
"bokong","burrik"
"menggemaskan","ngarammek"
"kejar","kajjar"
"kejar","halau"
"potongan rambut tidak rapi","balar"
"mencoret","nyorek"
"setelah itu","lakkak iye"
"bau pesing","rangngang"
"burung beo","tiong"
"membesar","lamber"
"nenek","nek uwan"
"kuyu","layo'"
"layu","layo'"
"gitu","gie"
"lamanya","lamaknye"
"saja","ja'"
"menangkap","nangkap"
"dandan","bemesen"
"meniup","ngambus"
"bermain","beajal"
"jalan-jalan","begayau"
"peluru sumpit","damak"
"bangunkan","mangunkan"
"genting","ganting"
"jalan raya","lorong"
"jalan","lorong"
"lucu","ngaliek"
"aku mau", "aku maok"
"aku mau berangkat", "aku nak berangkat"
"aku mau pergi", "aku nak paggi"
"lancar","lancar"
"terkulai","tekullai"
"berkelahi","bekelai"
"berkelahi","begasak"
"perkataan","omongan"
"ingin pergi","nak paggi"
"pisau","lading"
"hingga","hingge"
"hingga","sampai"
"salto","balik belungking"
"kelaparan","kelaparan"
"kelaparan","kebulorran"
"bagian depan kapal","haluan"
"benang kusut","muntal"
"kusut","muntal"
"muji","pujji"
"muji","mujji"
"ditutup","ditutup"
"ditutup","dikatupkan"
"keong sawah","irek-irek"
"teruntuk","untokkan"
"tempurung kelapa muda","kalok"
"tidak kemana-mana","nogok"
"malu","suppan"
"malu","camma'"
"bau amis","ampis"
"kampak","kapak"
"menghalangi","ngalikek"
"menghalangi","ngalangek"
"menghalangi","ampang"
"setelah","lakak"
"setelah","ba'de"
"nasi","nasek"
"demi","dammi"
"korek api","korek"
"korek api","korek api"
"korek api","merirang"
"main curang","singakal"
"main curang","bangsat"
"berbincang","ngelakar"
"tidak tidur","daan tidok"
"memutar","muttar"
"perkenankanlah","kanalkan"
"campur baur","campor adok"
"bayar","bayar"
"bayar","barai"
"tidak ikhlas","bedakwe"
"ketiduran","ketido'an"
"pecah","tebabbas"
"sudut","pittok"
"ngintip orang makan","nginding"
"mencari kepah","ngappah"
"lemah badan kamu","lammah badan mu"
"cucur","cuccor"
"pendiam","manoh"
"kota","kota'"
"maut","maut"
"maut","maot"
"berarti","bearti"
"buka","babak"
"membuka","babak"
"sisa","sisak"
"betul","batol"
"mengupas kelapa","nyuek"
"kulkas","kolkas"
"kumal","lussoh"
"nakal","daggel"
"cantik","cantek"
"cantik","ceramut"
"sekaranglah","itok dih be"
"mengira","kirre"
"mengira","ngirre"
"susunan yang tidak teratur","betaboran"
"sisiran rapi","kilas belampang"
"belimbing","gelembeng"
"gadis perawan","dare"
"awalnya","awalnye"
"tidak malu","daan supan"
"makan besar","konyan"
"mencarinya","nyareknye"
